bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,adelie,gentoo,chinstrap
-1.53382,0.17259,-0.71113,-1.28171,1.0,0.0,0.0
-0.85740,1.74619,-0.78245,-0.69181,1.0,0.0,0.0
0.58684,-1.75635,0.92939,0.89161,0.0,1.0,0.0
-0.47349,0.73096,-0.71113,-0.62972,1.0,0.0,0.0
-0.80256,1.79695,-0.71113,-0.38134,1.0,0.0,0.0
2.85375,-0.08122,2.07061,2.28874,0.0,1.0,0.0
-0.16271,1.03553,-0.28317,-0.87810,1.0,0.0,0.0
-0.54662,1.44162,0.14479,0.64323,1.0,0.0,0.0
-1.36929,0.42640,-1.35307,-1.31276,1.0,0.0,0.0
-1.31444,0.68020,-0.56847,-0.87810,1.0,0.0,0.0
-0.52834,0.93401,-1.35307,-0.97124,1.0,0.0,0.0
-0.52834,0.17259,-0.78245,-0.38134,1.0,0.0,0.0
1.24497,0.07107,1.92796,1.72989,0.0,1.0,0.0
-1.73492,0.47716,-0.99643,-1.62323,1.0,0.0,0.0
0.22121,0.32487,-0.21184,-0.31924,0.0,0.0,1.0
-1.64351,0.37563,-0.63980,-0.59867,1.0,0.0,0.0
-0.21755,0.68020,-0.42582,0.05333,1.0,0.0,0.0
-1.58867,0.88325,-0.99643,-0.50553,1.0,0.0,0.0
0.22121,-0.69036,1.00071,1.35732,0.0,1.0,0.0
0.27605,-1.35025,0.78673,0.67428,0.0,1.0,0.0
-0.49177,1.59391,-0.49715,-0.81600,1.0,0.0,0.0
-0.56490,-1.75635,0.92939,0.55009,0.0,1.0,0.0
0.91590,1.18782,0.64408,-0.31924,0.0,0.0,1.0
-0.98537,0.02030,-0.14051,-0.56762,1.0,0.0,0.0
1.33638,1.39086,-0.21184,-0.62972,0.0,0.0,1.0
0.25777,-1.29949,0.71541,0.73637,0.0,1.0,0.0
1.09872,-0.99492,1.21469,1.85408,0.0,1.0,0.0
-0.14442,0.68020,-0.63980,-0.13296,1.0,0.0,0.0
-0.67459,0.68020,-0.35449,0.17752,1.0,0.0,0.0
-1.16819,-0.08122,-1.13909,-0.75391,1.0,0.0,0.0
-0.98537,2.05076,-0.71113,-0.50553,1.0,0.0,0.0
0.36746,0.88325,-0.42582,-0.07086,0.0,0.0,1.0
0.38574,0.52792,-1.63837,-1.18857,0.0,0.0,1.0
0.86106,-1.55330,0.64408,0.30171,0.0,1.0,0.0
-1.42413,0.02030,-0.99643,-1.31276,1.0,0.0,0.0
-0.43693,0.42640,-0.63980,-0.31924,1.0,0.0,0.0
-0.52834,0.52792,-0.63980,-0.19505,1.0,0.0,0.0
0.22121,-0.28426,-0.71113,-1.18857,0.0,0.0,1.0
2.03108,-0.58883,2.07061,2.04036,0.0,1.0,0.0
0.45887,-1.85787,0.64408,0.42590,0.0,1.0,0.0
-1.51554,-0.13198,-1.13909,-1.31276,1.0,0.0,0.0
-1.13163,1.44162,-0.78245,0.05333,1.0,0.0,0.0
-0.08958,0.47716,0.07347,-1.00229,0.0,0.0,1.0
-0.45521,0.68020,0.00214,-0.25715,1.0,0.0,0.0
0.16636,-1.70558,0.78673,0.67428,0.0,1.0,0.0
0.82450,-1.55330,1.35735,1.35732,0.0,1.0,0.0
1.72029,-0.69036,1.28602,1.60570,0.0,1.0,0.0
-1.07678,-0.33503,-0.21184,-0.47448,1.0,0.0,0.0
0.42230,-0.69036,1.00071,1.04684,0.0,1.0,0.0
-0.32724,1.18782,-0.28317,0.08437,1.0,0.0,0.0
0.40402,-1.55330,1.14337,0.20856,0.0,1.0,0.0
-1.91773,0.93401,-0.78245,-0.75391,1.0,0.0,0.0
1.22669,1.28934,0.14479,-0.19505,0.0,0.0,1.0
-0.25411,-1.75635,0.85806,0.92265,0.0,1.0,0.0
0.18464,-0.89340,1.35735,1.04684,0.0,1.0,0.0
1.50091,0.83249,-0.28317,-0.94019,0.0,0.0,1.0
0.45887,-1.40102,1.14337,0.86056,0.0,1.0,0.0
-0.56490,-0.18274,-0.71113,-0.62972,1.0,0.0,0.0
-0.14442,-0.28426,-0.99643,-1.62323,0.0,0.0,1.0
1.24497,0.93401,0.64408,-0.13296,0.0,0.0,1.0
-1.55210,-0.48731,-0.42582,-1.06438,1.0,0.0,0.0
-0.41865,-1.24873,0.64408,0.61218,0.0,1.0,0.0
-0.76600,0.98477,-1.21041,0.55009,1.0,0.0,0.0
0.02011,0.42640,0.64408,-0.25715,1.0,0.0,0.0
-0.87569,2.00000,-0.35449,-0.07086,1.0,0.0,0.0
-0.63803,0.37563,-0.99643,-1.25066,1.0,0.0,0.0
-1.00366,0.37563,-0.78245,-1.09543,1.0,0.0,0.0
2.15905,1.34010,0.43010,-0.25715,0.0,0.0,1.0
-0.03473,-1.65482,0.50143,0.11542,0.0,1.0,0.0
0.53199,-0.28426,-0.63980,-1.87161,0.0,0.0,1.0
1.26325,0.98477,-0.35449,-0.81600,0.0,0.0,1.0
1.61060,1.44162,0.28745,0.42590,0.0,0.0,1.0
0.49543,0.37563,-0.42582,-1.12647,0.0,0.0,1.0
-0.93053,0.83249,-0.78245,-0.75391,1.0,0.0,0.0
-1.27788,-0.13198,-1.13909,-1.49904,1.0,0.0,0.0
0.22121,-0.38579,1.57133,2.16455,0.0,1.0,0.0
1.59232,1.34010,-0.28317,-0.59867,0.0,0.0,1.0
-1.42413,0.07107,-0.99643,-1.12647,1.0,0.0,0.0
-2.17367,-0.84264,-0.92511,-1.43695,1.0,0.0,0.0
-0.82084,0.32487,-0.92511,-1.12647,1.0,0.0,0.0
-0.89397,0.78173,-1.42439,-0.56762,1.0,0.0,0.0
-1.35101,0.32487,-1.13909,-0.62972,1.0,0.0,0.0
-0.58318,0.88325,0.50143,0.11542,1.0,0.0,0.0
1.19013,0.62944,-0.06919,-1.00229,0.0,0.0,1.0
0.44059,-0.79188,1.42867,0.98475,0.0,1.0,0.0
-0.12614,-1.60406,0.50143,0.45694,0.0,1.0,0.0
1.37294,0.78173,-0.99643,-1.18857,0.0,0.0,1.0
-1.33272,1.08629,-0.56847,-0.94019,1.0,0.0,0.0
1.50091,-0.03046,1.92796,1.48151,0.0,1.0,0.0
1.86654,1.84772,0.00214,0.11542,0.0,0.0,1.0
-0.94881,0.02030,-1.49572,-0.50553,1.0,0.0,0.0
-1.07678,-0.08122,-1.42439,-1.28171,1.0,0.0,0.0
-1.24132,1.13706,-1.21041,-0.38134,1.0,0.0,0.0
0.02011,1.28934,-0.35449,0.23961,1.0,0.0,0.0
1.13528,-1.45178,1.21469,1.85408,0.0,1.0,0.0
0.64168,-1.50254,0.57275,0.48799,0.0,1.0,0.0
-0.98537,-0.08122,-0.92511,-1.62323,1.0,0.0,0.0
-1.11335,0.73096,-2.06633,-1.31276,1.0,0.0,0.0
0.64168,-1.60406,0.78673,0.82951,0.0,1.0,0.0
1.06216,0.07107,-0.21184,-0.66076,0.0,0.0,1.0
0.69653,-1.09645,1.00071,1.79198,0.0,1.0,0.0
1.08044,-0.53807,0.85806,1.48151,0.0,1.0,0.0
-1.46069,0.32487,-0.42582,-0.94019,1.0,0.0,0.0
1.46435,1.79695,0.64408,0.73637,0.0,0.0,1.0
-0.45521,0.57868,-0.42582,0.11542,1.0,0.0,0.0
0.80622,-1.40102,0.14479,0.51904,0.0,1.0,0.0
-0.19927,0.22335,-0.35449,0.61218,1.0,0.0,0.0
2.56124,0.32487,-1.42439,-0.62972,0.0,0.0,1.0
0.47715,-1.50254,0.64408,0.79847,0.0,1.0,0.0
1.33638,1.03553,-0.56847,-0.69181,0.0,0.0,1.0
0.62340,-1.29949,0.78673,0.64323,0.0,1.0,0.0
1.19013,-0.99492,1.07204,0.98475,0.0,1.0,0.0
1.40951,1.59391,-0.49715,-0.53657,0.0,0.0,1.0
-1.47898,1.03553,-0.85378,-0.50553,1.0,0.0,0.0
0.40402,0.17259,-0.99643,-0.69181,0.0,0.0,1.0
0.27605,-1.75635,0.92939,0.55009,0.0,1.0,0.0
0.64168,-0.18274,-0.14051,-0.38134,0.0,0.0,1.0
1.00731,-0.53807,1.64265,1.79198,0.0,1.0,0.0
1.44607,1.18782,0.35877,-0.31924,0.0,0.0,1.0
1.06216,-0.63959,1.99929,2.16455,0.0,1.0,0.0
0.76965,-1.45178,0.64408,0.48799,0.0,1.0,0.0
1.29982,-0.43655,1.35735,2.22665,0.0,1.0,0.0
-0.47349,0.68020,0.07347,-0.41238,1.0,0.0,0.0
-0.91225,0.78173,-1.13909,-0.69181,1.0,0.0,0.0
1.22669,-1.09645,1.57133,1.66779,0.0,1.0,0.0
-1.07678,0.73096,-0.78245,-0.62972,1.0,0.0,0.0
-0.52834,0.47716,0.28745,0.11542,1.0,0.0,0.0
-0.71115,0.88325,-0.92511,0.11542,1.0,0.0,0.0
0.34918,-0.03046,-0.78245,-0.78495,0.0,0.0,1.0
-1.51554,0.42640,0.07347,-0.81600,1.0,0.0,0.0
-1.99086,-0.53807,-1.63837,-1.62323,1.0,0.0,0.0
-0.80256,0.27411,-1.06776,-0.87810,1.0,0.0,0.0
0.40402,-1.35025,0.57275,0.73637,0.0,1.0,0.0
0.93419,-1.09645,1.92796,1.60570,0.0,1.0,0.0
-0.91225,-0.03046,-0.71113,-1.43695,1.0,0.0,0.0
-0.32724,0.68020,-1.49572,-0.81600,1.0,0.0,0.0
-1.18647,0.68020,-0.14051,0.33275,1.0,0.0,0.0
0.20293,-1.35025,0.43010,1.04684,0.0,1.0,0.0
-0.27239,-0.23350,-0.99643,-1.06438,0.0,0.0,1.0
0.51371,-0.89340,1.00071,1.17103,0.0,1.0,0.0
-1.22303,1.69543,-0.14051,-0.53657,1.0,0.0,0.0
-0.23583,-1.75635,0.50143,-0.31924,0.0,1.0,0.0
0.38574,-1.04569,1.00071,1.10894,0.0,1.0,0.0
-0.52834,0.98477,-0.92511,-0.13296,1.0,0.0,0.0
-1.33272,0.83249,-0.99643,-0.50553,1.0,0.0,0.0
0.86106,-0.74112,0.50143,1.41941,0.0,1.0,0.0
0.64168,-1.09645,1.21469,0.92265,0.0,1.0,0.0
0.22121,-1.19797,0.78673,1.23313,0.0,1.0,0.0
-1.14991,0.78173,-1.49572,-0.75391,1.0,0.0,0.0
-0.56490,0.88325,-1.21041,-0.38134,1.0,0.0,0.0
-0.49177,2.00000,-0.42582,0.23961,1.0,0.0,0.0
-0.91225,0.17259,-1.06776,-0.81600,1.0,0.0,0.0
-1.24132,0.47716,-1.63837,-0.38134,1.0,0.0,0.0
-1.64351,0.37563,-0.78245,-0.94019,1.0,0.0,0.0
-1.16819,0.98477,-0.49715,-0.56762,1.0,0.0,0.0
-0.52834,0.22335,-1.35307,-1.25066,1.0,0.0,0.0
-0.78428,0.62944,-0.78245,-0.38134,1.0,0.0,0.0
-1.14991,-0.58883,-1.28174,-1.40590,1.0,0.0,0.0
-1.55210,0.17259,-0.78245,-0.62972,1.0,0.0,0.0
-1.04022,1.03553,-0.85378,-0.31924,1.0,0.0,0.0
-0.36380,1.18782,-0.06919,-0.19505,1.0,0.0,0.0
-1.36929,-0.28426,-1.42439,-1.68533,1.0,0.0,0.0
-1.13163,0.57868,-1.92368,-1.00229,1.0,0.0,0.0
-0.30896,2.05076,-0.71113,-0.07086,1.0,0.0,0.0
-1.16819,1.08629,-1.42439,-1.12647,1.0,0.0,0.0
-1.75320,0.62944,-1.21041,-1.09543,1.0,0.0,0.0
-0.94881,1.44162,-0.78245,-0.31924,1.0,0.0,0.0
-0.63803,0.88325,-1.49572,-0.31924,1.0,0.0,0.0
-1.05850,0.47716,-1.13909,-0.31924,1.0,0.0,0.0
-1.47898,-0.28426,-0.78245,-1.43695,1.0,0.0,0.0
-1.22303,0.32487,-0.71113,-1.06438,1.0,0.0,0.0
-1.29616,0.73096,-0.85378,-0.87810,1.0,0.0,0.0
-0.40037,1.13706,-0.21184,0.30171,1.0,0.0,0.0
-0.80256,0.47716,-1.06776,0.30171,1.0,0.0,0.0
-0.58318,0.62944,-0.42582,-0.38134,1.0,0.0,0.0
-1.71664,2.00000,-0.21184,0.23961,1.0,0.0,0.0
-0.82084,0.12183,-1.06776,-0.50553,1.0,0.0,0.0
-1.38757,-0.08122,-0.42582,-1.09543,1.0,0.0,0.0
-1.82633,-0.03046,-1.13909,-1.00229,1.0,0.0,0.0
-0.80256,0.02030,-0.35449,-0.81600,1.0,0.0,0.0
-0.34552,0.98477,-0.42582,-0.25715,1.0,0.0,0.0
-0.87569,1.23858,-0.42582,0.58113,1.0,0.0,0.0
-1.46069,0.37563,-0.78245,-0.94019,1.0,0.0,0.0
-0.27239,1.79695,-0.28317,0.36380,1.0,0.0,0.0
-1.62523,1.13706,-0.56847,-0.00877,1.0,0.0,0.0
0.36746,2.20305,-0.49715,-0.00877,1.0,0.0,0.0
-1.71664,0.02030,-0.85378,-1.25066,1.0,0.0,0.0
-0.61974,0.83249,-0.56847,-0.50553,1.0,0.0,0.0
-1.46069,0.68020,-1.06776,-1.37485,1.0,0.0,0.0
-0.61974,0.73096,-1.28174,-0.81600,1.0,0.0,0.0
-1.40585,1.18782,-0.78245,-0.50553,1.0,0.0,0.0
0.33090,0.88325,-0.28317,-0.07086,1.0,0.0,0.0
-0.96709,0.93401,-0.42582,-0.94019,1.0,0.0,0.0
-0.67459,0.42640,-0.42582,-1.18857,1.0,0.0,0.0
-0.82084,-0.23350,-1.63837,-1.18857,1.0,0.0,0.0
-1.11335,0.73096,-0.56847,-1.59219,1.0,0.0,0.0
-1.38757,-0.03046,-1.21041,-1.68533,1.0,0.0,0.0
-0.93053,0.32487,-1.42439,-0.72286,1.0,0.0,0.0
-0.80256,0.83249,-0.78245,0.48799,1.0,0.0,0.0
-0.78428,0.88325,-1.21041,-0.81600,1.0,0.0,0.0
-1.42413,-0.53807,-0.99643,-0.81600,1.0,0.0,0.0
